Genus,species,Genus_species,Genus_Smithspecies,smith tree names,location,min.height.cm ,max.height.cm
Cirsium,eatonii,Cirsium_eatonii,Cirsium_eatonii,eatonii,regional,30,60
,,,,,,,
Cirsium,subniveum,Cirsium_subniveum,Cirsium_subniveum,subniveum,regional,60,100
,,,,,,,
Cirsium,undulatum,Cirsium_undulatum,Cirsium_undulatum,undulatum,regional,61,152.5
,,,,,,,
Cirsium,neomexicanum,Cirsium_neomexicanum,Cirsium_neomexicanum,neomexicanum,regional,150,250
,,,,,,,
Cirsium,vulgare,Cirsium_vulgare,Cirsium_vulgare,vulgare,regional,61,122
,,,,,,,
Crepis,modocensis,Crepis_modocensis,Crepis_capillaris,capillaris,regional,10.25,38
,,,,,,,
Crepis,occidentalis,Crepis_occidentalis,Crepis_setosa,setosa,regional,10.25,38
,,,,,,,
Erigeron,aphanactis,Erigeron_aphanactis,Erigeron_aphanactis,aphanactis,regional,7.5,25.5
,,,,,,,
Erigeron,bloomeri,Erigeron_bloomeri,Erigeron_caespitosus,caespitosus,regional,5,15.25
,,,,,,,
Erigeron,canus,Erigeron_canus,Erigeron_strigosus,strigosus,regional,10,20
,,,,,,,
Erigeron,chrysopsidis,Erigeron_chrysopsidis,Erigeron_eatonii,eatonii,regional,5,15.25
,,,,,,,
Erigeron,compositus,Erigeron_compositus,Erigeron_compositus,compositus,regional,10.25,25.5
,,,,,,,
Erigeron,corymbosus,Erigeron_corymbosus,Erigeron_linearis,linearis,regional,25.5,51
,,,,,,,
Erigeron,divergens,Erigeron_divergens,Erigeron_divergens,divergens,regional,15.25,45.75
,,,,,,,
Erigeron,glabellus,Erigeron_glabellus,Erigeron_glabellus,glabellus,regional,30.5,45.75
,,,,,,,
Erigeron,lonchophyllus,Erigeron_lonchophyllus,Erigeron_lonchophyllus,lonchophyllus,regional,10,50
,,,,,,,
Eriophyllum,lanatum,Eriophyllum_lanatum,Eriophyllum_lanatum,lanatum,regional,10.25,101.5
,,,,,,,
Ageratina,occidentalis,Ageratina_occidentalis,Ageratina_wrightii,wrightii,regional,12.75,63.5
,,,,,,,
Filago,californica,Filago_californica,Filago_californica,californica,regional,1,30
,,,,,,,
Gaillardia,aristata,Gaillardia_aristata,Gaillardia_aristata,aristata,regional,30.5,91.5
,,,,,,,
Gnaphalium,palustre,Gnaphalium_palustre,Gnaphalium_palustre,palustre,regional,2.5,30.5
,,,,,,,
Grindelia,squarrosa,Grindelia_squarrosa,Grindelia_squarrosa,squarrosa,regional,30.5,91.5
,,,,,,,
Ericameria,nana,Ericameria_nana,Ericameria_nana,nana,regional,10,30
,,,,,,,
Nestotus,stenophyllus,Nestotus_stenophyllus,Nestotus_stenophyllus,stenophyllus,regional,2.5,12.75
,,,,,,,
Helianthella,uniflora,Helianthella_uniflora,Helianthella_uniflora,uniflora,regional,61,122
,,,,,,,
Helianthus,annuus,Helianthus_annuus,Helianthus_annuus,annuus,regional,91.5,305
,,,,,,,
Helianthus,petiolaris,Helianthus_petiolaris,Helianthus_petiolaris,petiolaris,regional,30.5,122
,,,,,,,
Hieracium,cynoglossoides,Hieracium_cynoglossoides,Hieracium_canadense,canadense,regional,30.5,122
,,,,,,,
Hieracium,gracile,Hieracium_gracile,Hieracium_albiflorum,albiflorum,regional,7.75,30.5
,,,,,,,
Hieracium,scouleri,Hieracium_scouleri,Hieracium_umbellatum,umbellatum,regional,30.5,91.5
,,,,,,,
Iva,axillaris,Iva_axillaris,Iva_none,none,regional,15,60
,,,,,,,
Iva,xanthifolia,Iva_xanthifolia,Iva_none,none,regional,61,183
,,,,,,,
Lactuca,serriola,Lactuca_serriola,Lactuca_serriola,serriola,regional,61,152.5
,,,,,,,
Layia,glandulosa,Layia_glandulosa,Layia_glandulosa,glandulosa,regional,15.25,61
,,,,,,,
Pleiacanthus,spinosus,Pleiacanthus_spinosus,Pleiacanthus_spinosus,spinosus,regional,10.25,61
,,,,,,,
Madia,glomerata,Madia_glomerata,Madia_elegans,elegans,regional,30.5,61
,,,,,,,
Madia,gracilis,Madia_gracilis,Madia_sativa,sativa,regional,10.25,101.5
,,,,,,,
Tripleurospermum,maritimum,Tripleurospermum_maritimum,Tripleurospermum_maritimum_subsp._phaeocephalum,maritimum_subsp._phaeocephalum,regional,10,60
,,,,,,,
Microseris,nutans,Microseris_nutans,Microseris_nutans,nutans,regional,10.25,63.5
,,,,,,,
Nothocalais,troximoides,Nothocalais_troximoides,Nothocalais_troximoides,troximoides,regional,5,38
,,,,,,,
Rudbeckia,occidentalis,Rudbeckia_occidentalis,Rudbeckia_none,none,regional,61,203
,,,,,,,
Packera,cana,Packera_cana,Packera_paupercula,paupercula,regional,15.25,45.75
,,,,,,,
